Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1640000,1.3476176,2.8260074,999,33.11925229,33.11925229,1
,,,,,,
1650000,1.3460237,2.830824,999,33.11008163,33.11008163,1
,,,,,,
1660000,1.3459381,2.830115,999,30.54335497,30.54335497,1
,,,,,,
1670000,1.3448144,2.8676808,999,31.21788242,31.21788242,1
,,,,,,
1680000,1.3448145,2.8974204,999,30.1011805,30.1011805,1
,,,,,,
1690000,1.3433137,2.908457,999,32.46137387,32.46137387,1
,,,,,,
1700000,1.3432642,3.0217433,999,31.94528021,31.94528021,1
,,,,,,
1710000,1.3429534,3.0694187,999,36.42664397,36.42664397,1
,,,,,,
1720000,1.3429114,2.9314878,999,29.98715075,29.98715075,1
,,,,,,
1730000,1.3425018,3.0659897,999,28.86450641,28.86450641,1
,,,,,,
1740000,1.3423711,3.0960152,999,37.40813417,37.40813417,1
,,,,,,
1750000,1.3411582,3.1790767,999,34.76777366,34.76777366,1
,,,,,,
1760000,1.340542,3.1665304,999,34.84095942,34.84095942,1
,,,,,,
1770000,1.3393443,3.1800857,999,29.60723526,29.60723526,1
,,,,,,
1780000,1.338405,3.1760304,999,30.40502764,30.40502764,1
,,,,,,
1790000,1.3376456,3.163654,999,34.31005614,34.31005614,1
,,,,,,
1800000,1.3368261,3.1352355,999,29.43095259,29.43095259,1
,,,,,,
1810000,1.3365682,3.2148194,999,35.08087269,35.08087269,1
,,,,,,
1820000,1.3361022,3.1829715,999,29.84790419,29.84790419,1
,,,,,,
1830000,1.33604,3.1668472,999,34.14338801,34.14338801,1
,,,,,,
1840000,1.3358657,3.189911,999,31.39820356,31.39820356,1
,,,,,,
1850000,1.3354914,3.3389103,999,37.9417223,37.9417223,1
,,,,,,
1860000,1.3336622,3.2245317,999,32.48395458,32.48395458,1
,,,,,,
1870000,1.3335534,3.324644,999,30.57849865,30.57849865,1
,,,,,,
1880000,1.3321933,3.2694793,999,35.01465101,35.01465101,1
,,,,,,
1890000,1.3321933,3.3098984,999,33.25270715,33.25270715,1
,,,,,,
1900000,1.3312777,3.3981946,999,35.15591355,35.15591355,1
,,,,,,
1910000,1.3312484,3.370446,999,35.80495225,35.80495225,1
,,,,,,
1920000,1.3304275,3.4226983,999,35.11594833,35.11594833,1
,,,,,,
1930000,1.3302995,3.4390464,999,37.03469227,37.03469227,1
,,,,,,
1940000,1.32948,3.412951,999,34.86281756,34.86281756,1
,,,,,,
1950000,1.3292276,3.3744264,999,34.74120984,34.74120984,1
,,,,,,
1960000,1.328877,3.4066339,999,33.9068548,33.9068548,1
,,,,,,
1970000,1.3287112,3.5288033,999,39.53803762,39.53803762,1
,,,,,,
1980000,1.3290254,3.4444377,999,37.73073715,37.73073715,1
,,,,,,
1990000,1.3292677,3.3298733,999,29.97554904,29.97554904,1
,,,,,,
2000000,1.3288033,3.4517393,999,34.31857637,34.31857637,1
,,,,,,
2010000,1.328263,3.474202,999,39.6047316,39.6047316,1
,,,,,,
2020000,1.3278992,3.408619,999,33.80194347,33.80194347,1
,,,,,,
2030000,1.3273032,3.5483959,999,33.88064072,33.88064072,1
,,,,,,
2040000,1.3270862,3.5854368,999,40.19635333,40.19635333,1
,,,,,,
2050000,1.3264807,3.5725982,999,36.49035344,36.49035344,1
,,,,,,
